place,post_label,person_name,party,image_url
,,Albin Kurti,LVV,
,,Glauk Konjufca,LVV,/Data/Images/GlaukKonjufca_Xm4rmxwCy4.jfif
,,Faton Peci,LVV,
,,Hekuran Murati,LVV,
,,Albulena Haxhiu,LVV,
,,Xhelal Sveçla,LVV,
,,Donika Gërvalla-Schwarz,LVV,
,,Avni Dehari,LVV,
,,Mimoza Kusari-Lila,LVV,/Data/Images/MimozaKusari-Lila_9ueffPajjF.JPG
,,Arben Vitia,LVV,
,,Ejup Maqedonci,LVV,
,,Shqipe Mehmeti Selimi,LVV,/Data/Images/ShqipeMehmetiSelimi_TUhqSsc54s.JPG
,,Saranda Bogujevci,LVV,/Data/Images/SarandaBogujevci_GEW6UvWhTr.JPG
,,Edona Llalloshi,LVV,
,,Mefail Bajqinovci,LVV,/Data/Images/MefailBajqinovci_CbD6B9ppth.JPG
,,Hajrulla Çeko,LVV,
,,Armend Muja,LVV,/Data/Images/ArmendMuja_mxnurrmaTh.jpg
,,Jeta Statovci,LVV,/Data/Images/JetaStatovci_c5NUtgHrrv.JPG
,,Haxhi Avdyli,LVV,/Data/Images/HaxhiAvdyli_JTugD9mw4u.JPG
,,Albena Reshitaj,LVV,
,,Artane Rizvanolli-Berisha,LVV,
,,Nezir Kraki,LVV,
,,Adelina Grainca,LVV,/Data/Images/AdelinaGrainca_uuLF6fVdhN.JPG
,,Arbëreshë Kryeziu Hyseni,LVV,/Data/Images/ArbershKryeziu-Hyseni_4sL3veujDe.JPG
,,Arbër Rexhaj,LVV,/Data/Images/ArberRexhaj_GGXmUY3962.JPG
,,Dimal Basha,LVV,/Data/Images/DimalBasha_H68hRABksk.JPG
,,Valon Hoti,LVV,
,,Arbërie Nagavci,LVV,
,,Liza Gashi,LVV,
,,Valon Ramadani,LVV,/Data/Images/ValonRamadani_xjWbFYAVLq.jpg
,,Labinotë Demi - Murtezi,LVV,/Data/Images/LabinoteDemi-Murtezi_znWXAAc4N6.JPG
,,Fjolla Ujkani,LVV,/Data/Images/FjollaUjkani_S9dFTahDe2.JPG
,,Halil Thaçi,LVV,/Data/Images/HalilThaci_VCbTedj2Aq.jpg
,,Fitore Pacolli-Dalipi,LVV,/Data/Images/FitorePacolli-Dalipi_EzcEaa98J5.JPG
,,Agim Bahtiri,LVV,
,,Artan Abrashi,LVV,/Data/Images/ArtanAbrashi_gLNqfR9x5Y.JPG
,,Salih Zyba,LVV,/Data/Images/SalihZyba_bfhB8kAr5x.JPG
,,Adriana Matoshi,LVV,/Data/Images/AdrianaMatoshi_bYk5fNmdk5.JPG
,,Drita Pajaziti,LVV,
,,Fitim Haziri,LVV,/Data/Images/FitimHaziri_DwSGF9Utpg.JPG
,,Bylbyl Sokoli,LVV,
,,Driton Hyseni,LVV,/Data/Images/DritonHyseni_kUJRVV6bEr.JPG
,,Bajram Mavriqi,LVV,
,,Arjeta Fejza,LVV,/Data/Images/ArjetaFejza_9MC9tKF262.JPG
,,Ilir Kërçeli,LVV,
,,Fatmire Kollçaku,LVV,/Data/Images/FatmireKollcaku_XLFkpRMGC5.JPG
,,Arijeta Rexhepi,LVV,/Data/Images/ArijetaRexhepi_CGEB4ttXAb.JPG
,,Rozeta Hajdari,LVV,
,,Memli Krasniqi,PDK,/Data/Images/MemliKrasniqi_MEVdtUFdkv.bmp
,,Uran Ismaili,PDK,
,,Vlora Çitaku,PDK,
,,Sala Jashari,PDK,
,,Enver Hoxhaj,PDK,/Data/Images/EnverHoxhaj_pVJSgfMwqy.JPG
,,Përparim Gruda,PDK,
,,Ganimete Musliu,PDK,/Data/Images/Ganimete_Musliu_yeqJHxcfBE.jpg
,,Nait Hasani,PDK,
,,Jakup Nura,PDK,
,,Rrahman Rama,PDK,
,,Artan Behrami,PDK,
,,Mergim Lushtaku,PDK,/Data/Images/MergimLushtaku_VAsKTf2dCE.JPG
,,Elmi Reçica,PDK,/Data/Images/ElmiRecica_2JmSHRzcCd.JPG
,,Ferat Shala,PDK,/Data/Images/FeratShala_P2fY9tEfRc.JPG
,,Blerta Deliu,PDK,/Data/Images/BlertaDeliu_bUrvN4LeJx.JPG
,,Fadil Demaku,PDK,
,,Altin Krasniqi,PDK,
,,Xhevahir Geci,PDK,
,,Abelard Tahiri,PDK,/Data/Images/AbelardTahiri_AyHBrcpuYP.JPG
,,Ariana Musliu Shoshi,PDK,/Data/Images/ArianaMusliuShoshi_ppM45YgzTY.jpeg
,,Rashit Qalaj,PDK,/Data/Images/RashitQalaj_Vd8Jk3dewY.JPG
,,Eliza Hoxha,PDK,/Data/Images/ElizaHoxha_WSuyg8durb.JPG
,,Arbnore Salihu,PDK,
,,Kosovare Murseli,PDK,
,,Lumir Abdixhiku,LDK,/Data/Images/LumirAbdixhiku_4MeKXKugBe.JPG
,,Doarsa Kica-Xhelili,LDK,/Data/Images/DoarsaKica_A2cTkUaPbf.jpg
,,Kujtim Shala,LDK,/Data/Images/KujtimShala_FCujKSLKDM.JPG
,,Hykmete Bajrami,LDK,/Data/Images/HykmeteBajrami_rugfmu68hU.JPG
,,Avdullah Hoti,LDK,/Data/Images/AvdullahHoti_mSWzmFd5Ds.JPG
,,Anton Quni,LDK,/Data/Images/AntonQuni_Mm5xh5Tt3G.JPG
,,Lutfi Haziri,LDK,
,,Jehona Lushaku Sadriu,LDK,
,,Armend Zemaj,LDK,/Data/Images/ArmendZemaj_qtBPXRyxBA.JPG
,,Hysen Çekaj,LDK,
,,Fadil Hadergjonaj,LDK,
,,Besian Mustafa,LDK,/Data/Images/BesianMustafa_nJbERPYSHq.JPG
,,Marigona Geci,LDK,/Data/Images/MarigonaGeci_KDYbkzy8FR.JPG
,,Ekrem Hyseni,LDK,
,,Krenar Xhaferi,LDK,
,,Alban Zogaj,LDK,
,,Arben Gashi,LDK,/Data/Images/ArbenGashi_kBdLch9Kra.JPG
,,Paris Guri,LDK,
,,Serbeze Kabashi-Muçaj,LDK,
,,Arjeta Abazi,LDK,
,,Branislav Nikolić,SL,
,,Slavko Simić,SL,
,,Ljiljana Stefanović,SL,
,,Srdjan Popović,SL,
,,Verica Ćeranić,SL,
,,Ignor Simić,SL,
,,Zlatan Elek,SL,
,,Miljana Nikolić,SL,
,,Stefan Kovaćević,SL,
,,Ramush Haradinaj,AAK,/Data/Images/RamushHaradinaj_AHWebExfu9.JPG
,,Daut Haradinaj,AAK,
,,Fatmir Limaj,NISMA,
,,Bekë Berisha,AAK,/Data/Images/BekeBerisha_n4rtSMggCT.JPG
,,Time Kadrija,AAK,/Data/Images/TimeKadrijaj_rnRgcfYTN8.JPG
,,Lahi Brahimaj,AAK-NISMA,
,,Arbëreshë Krasniqi,AAK-NISMA,
,,Xhevahire Izmaku,AAK-NISMA,
,,Fikrim Damka,KDTP,
,,Fidan Jilta,KDTP,/Data/Images/FidanJilta_28qCrwXb8G.JPG
,,Elbert Krasniqi,IRDK,
,,Emilija Redžepi,NDS,
,,Nenad Rašić,SPO,
,,Rasim Demiri,VK,/Data/Images/BahrimSabani_kcrvrkKPGq.JPG
,,Veton Berisha,PLE,
,,Duda Balje,SDU,/Data/Images/DudaBalje_PPyzLgkGA6.JPG
,,Artan Asllani,PAI,
,,Adem Hodža,JGP,/Data/Images/AdemHodza_yUKvWsraCX.JPG
,,Albert Kinolli,PREBK,
